substance_a,substance_b,substance_a_norm,substance_b_norm,severity,ansm_codes,mechanism,conduct,source_page
ANTI-INFECTIEUX ET HEMOSTASE,CIMETIDINE,anti-infectieux et hemostase,cimetidine,low,APEC,Avec la cimétidine utilisée à des doses supérieures ou égales à 800 mg/j : augmentation de l'effet de l'antivitamine K et du risque hémorragique (diminution de son métabolisme hépatique).,,30
ANTI-INFECTIEUX ET HEMOSTASE,CLINDAMYCINE,anti-infectieux et hemostase,clindamycine,moderate,PE,Augmentation de l’effet de l’antivitamine K et du risque hémorragique.,Contrôle plus fréquent de l’INR. Adaptation éventuelle de la posologie de l’antivitamine K pendant le traitement par clindamycine et après son arrêt.,30
ANTI-INFECTIEUX ET HEMOSTASE,COLCHICINE,anti-infectieux et hemostase,colchicine,moderate,PE,Augmentation de l'effet de l'antivitamine K et du risque hémorragique.,Contrôle plus fréquent de l'INR. Adaptation éventuelle de la posologie de l'antivitamine K pendant le traitement par la colchicine et 8 jours après son arrêt.,30
ANTI-INFECTIEUX ET HEMOSTASE,CYCLINES,anti-infectieux et hemostase,cyclines,moderate,PE,"Augmentation de l'effet de l'antivitamine K et du risque hémorragique (pour la tigécycline, effet direct sur la coagulation et/ou les systèmes fibrinolytiques).",Contrôle plus fréquent de l'INR. Adaptation éventuelle de la posologie de l'antivitamine K pendant le traitement par la cycline et après son arrêt.,30
ANTI-INFECTIEUX ET HEMOSTASE,CYTOTOXIQUES,anti-infectieux et hemostase,cytotoxiques,moderate,PE,"Augmentation du risque thrombotique et hémorragique au cours des affections tumorales. De surcroit, possible interaction entre les AVK et la chimiothérapie.",Contrôle plus fréquent de l'INR.,30
ANTI-INFECTIEUX ET HEMOSTASE,DANAZOL,anti-infectieux et hemostase,danazol,moderate,PE,Augmentation du risque hémorragique par effet direct sur la coagulation et/ou les systèmes fibrinolytiques.,Contrôle plus fréquent de l’INR. Adaptation de la posologie de l’antivitamine K pendant le traitement par le danazol et après son arrêt.,30
ANTI-INFECTIEUX ET HEMOSTASE,DEFERASIROX,anti-infectieux et hemostase,deferasirox,low,APEC,Majoration du risque ulcérogène et hémorragique digestif.,,30
ANTI-INFECTIEUX ET HEMOSTASE,DISULFIRAME,anti-infectieux et hemostase,disulfirame,moderate,PE,Augmentation de l'effet de l'antivitamine K et du risque hémorragique.,Contrôle plus fréquent de l'INR. Adaptation de la posologie de l'antivitamine K pendant le traitement par le disulfirame et 8 jours après son arrêt.,30
ANTI-INFECTIEUX ET HEMOSTASE,ECONAZOLE,anti-infectieux et hemostase,econazole,moderate,PE,Quelle que soit la voie d'administration de l'éconazole : augmentation de l'effet de l'antivitamine K et du risque hémorragique.,Contrôle plus fréquent de l'INR. Adaptation éventuelle de la posologie de l'antivitamine K pendant le traitement par éconazole et après son arrêt.,31
ANTI-INFECTIEUX ET HEMOSTASE,EFAVIRENZ,anti-infectieux et hemostase,efavirenz,moderate,PE,Diminution de l'effet de l'antivitamine K par augmentation de son métabolisme hépatique.,Contrôle plus fréquent de l'INR. Adaptation éventuelle de la posologie de l'antivitamine K.,31
ANTI-INFECTIEUX ET HEMOSTASE,FIBRATES,anti-infectieux et hemostase,fibrates,moderate,PE,Augmentation de l'effet de l'antivitamine K et du risque hémorragique.,Contrôle plus fréquent de l'INR. Adaptation éventuelle de la posologie de l'antivitamine K pendant le traitement par le fibrate et 8 jours après son arrêt.,31
ANTI-INFECTIEUX ET HEMOSTASE,FLUCONAZOLE,anti-infectieux et hemostase,fluconazole,moderate,PE,Augmentation de l'effet de l'antivitamine K et du risque hémorragique.,Contrôle plus fréquent de l'INR. Adaptation éventuelle de la posologie de l'antivitamine K pendant le traitement par le fluconazole et 8 jours après son arrêt.,31
ANTI-INFECTIEUX ET HEMOSTASE,FLUOROQUINOLONES,anti-infectieux et hemostase,fluoroquinolones,moderate,PE,Augmentation de l'effet de l'antivitamine K et du risque hémorragique.,Contrôle plus fréquent de l'INR. Adaptation éventuelle de la posologie de l'antivitamine K pendant le traitement par la fluoroquinolone et après son arrêt.,31
ANTI-INFECTIEUX ET HEMOSTASE,"FLUOROURACILE (ET, PAR EXTRAPOLATION, AUTRES FLUOROPYRIMIDINES)",anti-infectieux et hemostase,"fluorouracile (et, par extrapolation, autres fluoropyrimidines)",high,ASDEC,Augmentation importante de l'effet de l'antivitamine K et du risque hémorragique.,"Si elle ne peut être évitée, contrôle plus fréquent de l'INR. Adaptation de la posologie de l'antivitamine K pendant le traitement par le cytotoxique et 8 jours après son arrêt.",31
ANTI-INFECTIEUX ET HEMOSTASE,GLUCOSAMINE,anti-infectieux et hemostase,glucosamine,moderate,PE,Augmentation du risque hémorragique.,Contrôle plus fréquent de l’INR. Adapation éventuelle de la posologie de l’antivitamine K.,31
ANTI-INFECTIEUX ET HEMOSTASE,INDUCTEURS ENZYMATIQUES PUISSANTS,anti-infectieux et hemostase,inducteurs enzymatiques puissants,moderate,PE,"Diminution (ou, rarement, augmentation avec la phénytoïne) de l'effet de l'antivitamine K par augmentation de son métabolisme hépatique par l'anticonvulsivant inducteur.",Contrôle plus fréquent de l'INR. Adaptation éventuelle de la posologie de l'antivitamine K pendant le traitement par l'anticonvulsivant inducteur et 8 jours après son arrêt.,31
ANTI-INFECTIEUX ET HEMOSTASE,INHIBITEURS DE L'HMG-COA RÉDUCTASE (STATINES),anti-infectieux et hemostase,inhibiteurs de l'hmg-coa reductase (statines),moderate,PE,Augmentation de l'effet de l'antivitamine K et du risque hémorragique.,Contrôle plus fréquent de l'INR. Adaptation éventuelle de la posologie de l'antivitamine K.,31
ANTI-INFECTIEUX ET HEMOSTASE,INHIBITEURS DE PROTÉASES BOOSTÉS PAR RITONAVIR,anti-infectieux et hemostase,inhibiteurs de proteases boostes par ritonavir,moderate,PE,"Variation de l'effet de l'antivitamine K, le plus souvent dans le sens d'une diminution.",Contrôle plus fréquent de l'INR. Adaptation éventuelle de la posologie de l'antivitamine K pendant la durée du traitement.,31
ANTI-INFECTIEUX ET HEMOSTASE,LEVOCARNITINE,anti-infectieux et hemostase,levocarnitine,moderate,PE,Augmentation de l'effet de l'antivitamine K et du risque hémorragique,Contrôle plus fréquent de l'INR. Adaptation éventuelle de la posologie de l'antivitamine K pendant le traitement par la lévocarnitine et 8 jours après son arrêt.,31
ANTI-INFECTIEUX ET HEMOSTASE,MACROLIDES (SAUF SPIRAMYCINE),anti-infectieux et hemostase,macrolides (sauf spiramycine),moderate,PE,Augmentation de l'effet de l'antivitamine K et du risque hémorragique.,Contrôle plus fréquent de l'INR. Adaptation éventuelle de la posologie de l'antivitamine K pendant le traitement par le macrolide et après son arrêt.,31
ANTI-INFECTIEUX ET HEMOSTASE,METHYLPREDNISOLONE,anti-infectieux et hemostase,methylprednisolone,moderate,PE,"Pour des doses de 0,5 à 1g de méthylprednisolone administrées en bolus : augmentation de l'effet de l'antivitamine K et du risque hémorragique.",Contrôle de l'INR 2 à 4 jours après le bolus de méthylprednisolone ou en présence de tous signes hémorragiques.,31
ANTI-INFECTIEUX ET HEMOSTASE,MICONAZOLE,anti-infectieux et hemostase,miconazole,critical,CI,"Hémorragies imprévisibles, éventuellement graves.",,31
ANTI-INFECTIEUX ET HEMOSTASE,MILLEPERTUIS,anti-infectieux et hemostase,millepertuis,critical,CI,"Diminution des concentrations plasmatiques de l'antivitamine K, en raison de son effet inducteur enzymatique, avec risque de baisse d'efficacité voire d'annulation de l'effet dont les conséquences peuvent être éventuellement graves (évènement thrombotique).","En cas d'association fortuite, ne pas interrompre brutalement la prise de millepertuis mais contrôler l'INR avant puis après l'arrêt du millepertuis.",32
ANTI-INFECTIEUX ET HEMOSTASE,NEVIRAPINE,anti-infectieux et hemostase,nevirapine,moderate,PE,Diminution de l'effet de l'antivitamine K par augmentation de son métabolisme hépatique.,Contrôle plus fréquent de l'INR. Adaptation éventuelle de la posologie de l'antivitamine K.,32
ANTI-INFECTIEUX ET HEMOSTASE,NOSCAPINE,anti-infectieux et hemostase,noscapine,high,ASDEC,Augmentation de l’effet de l’antivitamine K et du risque hémorragique.,,32
ANTI-INFECTIEUX ET HEMOSTASE,ORLISTAT,anti-infectieux et hemostase,orlistat,moderate,PE,Augmentation de l'effet de l'antivitamine K et du risque hémorragique.,Contrôle plus fréquent de l'INR. Adaptation éventuelle de la posologie de l'antivitamine K pendant le traitement par l'orlistat et après son arrêt.,32
ANTI-INFECTIEUX ET HEMOSTASE,PARACETAMOL,anti-infectieux et hemostase,paracetamol,moderate,PE,Risque d’augmentation de l’effet de l’antivitamine K et du risque hémorragique en cas de prise de paracétamol aux doses maximales (4 g/j) pendant au moins 4 jours.,Contrôle plus fréquent de l’INR. Adaptation éventuelle de la posologie de l’antivitamine K pendant le traitement par le paracétamol et après son arrêt.,32
ANTI-INFECTIEUX ET HEMOSTASE,PENTOXIFYLLINE,anti-infectieux et hemostase,pentoxifylline,moderate,PE,Augmentation du risque hémorragique.,Contrôle plus fréquent de l'INR. Adaptation éventuelle de la posologie de l'antivitamine K pendant le traitement par la pentoxifylline et 8 jours après son arrêt.,32
ANTI-INFECTIEUX ET HEMOSTASE,PRISTINAMYCINE,anti-infectieux et hemostase,pristinamycine,moderate,PE,Augmentation de l'effet de l'antivitamine K et du risque hémorragique.,Contrôle plus fréquent de l'INR. Adaptation éventuelle de la posologie de l'antivitamine K pendant le traitement par la pristinamycine et après son arrêt.,32
ANTI-INFECTIEUX ET HEMOSTASE,PROGUANIL,anti-infectieux et hemostase,proguanil,moderate,PE,Risque d’augmentation de l’effet de l’antivitamine K et du risque hémorragique.,Contrôle plus fréquent de l’INR. Adaptation éventuelle de la posologie de l’antivitamine K pendant le traitement par le proguanil et après son arrêt.,32
ANTI-INFECTIEUX ET HEMOSTASE,RIFAMPICINE,anti-infectieux et hemostase,rifampicine,moderate,PE,Diminution de l'effet de l'antivitamine K par augmentation de son métabolisme hépatique par la rifampicine.,Contrôle plus fréquent de l'INR. Adaptation éventuelle de la posologie de l'antivitamine K pendant le traitement par la rifampicine et 8 jours après son arrêt.,32
ANTI-INFECTIEUX ET HEMOSTASE,ROPINIROLE,anti-infectieux et hemostase,ropinirole,moderate,PE,Augmentation du risque hémorragique.,Contrôle plus fréquent de l’INR. Adaptation éventuelle de la posologie de l’antivitamine K pendant le traitement par ropinirole et après son arrêt.,32
ANTI-INFECTIEUX ET HEMOSTASE,SULFAMETHOXAZOLE,anti-infectieux et hemostase,sulfamethoxazole,high,ASDEC,Augmentation importante de l’effet de l’antivitamine K et du risque hémorragique.,"Si l’association ne peut être évitée, contrôle plus fréquent de l’INR et adaptation de la posologie de l’antivitamine K pendant le traitement par cotrimoxazole et après son arrêt.",32
ANTI-INFECTIEUX ET HEMOSTASE,TAMOXIFENE,anti-infectieux et hemostase,tamoxifene,moderate,PE,Risque d'augmentation de l'effet de l'antivitamine K et du risque hémorragique.,Contrôle plus fréquent de l'INR. Adaptation éventuelle de la posologie de l'antivitamine K.,32
ANTI-INFECTIEUX ET HEMOSTASE,TIBOLONE,anti-infectieux et hemostase,tibolone,moderate,PE,Augmentation de l'effet de l'antivitamine K et du risque hémorragique.,Contrôle plus fréquent de l'INR. Adaptation éventuelle de la posologie de l'antivitamine K pendant le traitement par la tibolone et après son arrêt.,32
ANTI-INFECTIEUX ET HEMOSTASE,VORICONAZOLE,anti-infectieux et hemostase,voriconazole,moderate,PE,Augmentation de l'effet de l'antivitamine K et du risque hémorragique par diminution de son métabolisme hépatique.,Contrôle plus fréquent de l'INR. Adaptation éventuelle de la posologie de l'antivitamine K pendant le traitement par voriconazole et 8 jours après son arrêt.,32
APALUTAMIDE,ATORVASTATINE,apalutamide,atorvastatine,high,ASDEC,"Risque de diminution très importante des concentrations de l'atorvastatine, et perte d‘efficacité, par augmentation de son métabolisme hépatique par l’apalutamide.",,33
APALUTAMIDE,CABAZITAXEL,apalutamide,cabazitaxel,high,ASDEC,"Risque de diminution très importante des concentrations du cabazitaxel, et perte d‘efficacité, par augmentation de son métabolisme hépatique par l’apalutamide.",,33
APALUTAMIDE,DOCETAXEL,apalutamide,docetaxel,high,ASDEC,"Risque de diminution très importante des concentrations du docétaxel, et perte d‘efficacité, par augmentation de son métabolisme hépatique par l’apalutamide.",,33
APALUTAMIDE,IMMUNOSUPPRESSEURS,apalutamide,immunosuppresseurs,high,ASDEC,"Risque de diminution très importante des concentrations des immunosuppresseurs, et perte d‘efficacité, par augmentation de leur métabolisme hépatique par l’apalutamide.",,33
APALUTAMIDE,METHADONE,apalutamide,methadone,high,ASDEC,"Risque de diminution très importante des concentrations de la méthadone, et perte d‘efficacité, par augmentation de son métabolisme hépatique par l’apalutamide.",,33
APALUTAMIDE,OLAPARIB,apalutamide,olaparib,high,ASDEC,"Risque de diminution très importante des concentrations de l'olaparib, et perte d‘efficacité, par augmentation de son métabolisme hépatique par l’apalutamide.",,33
APALUTAMIDE,OMEPRAZOLE,apalutamide,omeprazole,high,ASDEC,"Risque de diminution très importante des concentrations de l'oméprazole, et perte d‘efficacité, par augmentation de son métabolisme hépatique par l’apalutamide.",,33
APALUTAMIDE,PIMOZIDE,apalutamide,pimozide,high,ASDEC,"Risque de diminution très importante des concentrations du pimozide, et perte d‘efficacité, par augmentation de son métabolisme hépatique par l’apalutamide.",,33
APALUTAMIDE,SIMVASTATINE,apalutamide,simvastatine,high,ASDEC,"Risque de diminution très importante des concentrations de la simvastatine, et perte d‘efficacité, par augmentation de son métabolisme hépatique par l’apalutamide.",,33
APIXABAN,FLUCONAZOLE,apixaban,fluconazole,high,ASDEC,"Augmentation des concentrations plasmatiques de l'apixaban par le fluconazole, avec majoration du risque de saignement.",,33
APIXABAN,INDUCTEURS ENZYMATIQUES PUISSANTS,apixaban,inducteurs enzymatiques puissants,high,ASDEC,"Diminution des concentrations plasmatiques de l’apixaban par l'inducteur enzymatique, avec risque de réduction de l’effet thérapeutique.",,33
APIXABAN,INHIBITEURS PUISSANTS DU CYP3A4,apixaban,inhibiteurs puissants du cyp3a4,high,ASDEC,"Augmentation des concentrations plasmatiques de l’apixaban par l'inhibiteur, avec majoration du risque de saignement.",,33
APIXABAN,RIFAMPICINE,apixaban,rifampicine,high,ASDEC,"Diminution des concentrations plasmatiques de l’apixaban par la rifampicine, avec risque de diminution de l’effet thérapeutique.",,33
APOMORPHINE,SÉTRONS,apomorphine,setrons,critical,CI,Des hypotensions sévères et des pertes de connaissance ont été rapportées lors de l’association d’un sétron avec l’apomorphine.,,34
APRÉMILAST,INDUCTEURS ENZYMATIQUES,apremilast,inducteurs enzymatiques,high,ASDEC,Diminution des concentrations plasmatiques d’aprémilast par augmentatiion de son métabolisme par l’inducteur.,,34
APREPITANT,ANTIVITAMINES K,aprepitant,antivitamines k,low,APEC,Risque de diminution de l’effet de l’antivitamine K par augmentation de son métabolisme hépatique par l’aprépitant.,,34
APREPITANT,CYPROTERONE,aprepitant,cyproterone,moderate,PE,Risque de diminution des concentrations de la cyprotérone avec risque de moindre efficacité contraceptive.,"Dans son utilisation comme contraceptif hormonal : Utiliser une méthode de contraception fiable, additionnelle ou alternative, pendant la durée de l'association.",34
APREPITANT,ESTROPROGESTATIFS CONTRACEPTIFS,aprepitant,estroprogestatifs contraceptifs,moderate,PE,Diminution de l’efficacité contraceptive par augmentation du métabolisme hépatique du contraceptif hormonal par l'aprépitant.,"Utiliser une méthode additionnelle de type mécanique (préservatif) pendant la durée de l’association, et un cycle suivant l’arrêt de l’aprépitant.",34
APREPITANT,IFOSFAMIDE,aprepitant,ifosfamide,low,APEC,Risque d’augmentation de la neurotoxicité de l’ifosfamide.,,34
APREPITANT,INDUCTEURS ENZYMATIQUES PUISSANTS,aprepitant,inducteurs enzymatiques puissants,high,ASDEC,Risque de diminution très importante des concentrations d'aprépitant.,,34
APREPITANT,ITRACONAZOLE,aprepitant,itraconazole,low,APEC,Augmentation des concentrations d’aprépitant par diminution de son métabolisme hépatique par l’itraconazole.,,34
APREPITANT,PIMOZIDE,aprepitant,pimozide,critical,CI,"Risque majoré de troubles du rythme ventriculaire, notamment de torsades de pointes.",,34
APREPITANT,PROGESTATIFS CONTRACEPTIFS,aprepitant,progestatifs contraceptifs,moderate,PE,"(Sauf stérilet), diminution des concentrations du progestatif, avec risque de moindre efficacité contraceptive.","Utiliser de préférence une autre méthode contraceptive, en particulier de type mécanique, pendant la durée de l'association et un cycle suivant.",34
APREPITANT,RIFAMPICINE,aprepitant,rifampicine,high,ASDEC,Diminution très importante des concentrations d'aprépitant.,,34
ARIPIPRAZOLE,INDUCTEURS ENZYMATIQUES,aripiprazole,inducteurs enzymatiques,moderate,PE,Diminution des concentrations plasmatiques de l’aripiprazole.,Surveillance clinique et adaptation éventuelle de la posologie de l’aripiprazole pendant l’association et 1 à 2 semaines après l’arrêt de l’inducteur.,34
ARIPIPRAZOLE,NEUROLEPTIQUES ANTIPSYCHOTIQUES (SAUF CLOZAPINE),aripiprazole,neuroleptiques antipsychotiques (sauf clozapine),low,APEC,"Risque de moindre efficacité, notamment de l’aripiprazole, suite à l’antagonisme des récepteurs dopaminergiques par le neuroleptique.",,34
ARSENIEUX,SUBSTANCES SUSCEPTIBLES DE DONNER DES TORSADES DE POINTES,arsenieux,substances susceptibles de donner des torsades de pointes,critical,CI;ASDEC,"Risque majoré de troubles du rythme ventriculaires, notamment de torsades de pointes.","Contre-indication : - avec le citalopram, la dompéridone, l'escitalopram, l'hydroxyzine et la pipéraquine. Association déconseillée: - avec les autres médicaments susceptibles de donner des torsades de pointes. Si l’association ne peut être évitée, contrôle clinique et électrocardiographique régulier.",35
ATALUREN,AMINOSIDES,ataluren,aminosides,critical,CI,Risque de potentialisation de la toxicité rénale de l’aminoside.,,35
ATAZANAVIR,ANTISÉCRÉTOIRES ANTIHISTAMINIQUES H2,atazanavir,antisecretoires antihistaminiques h2,low,APEC,Risque de diminution des concentrations plasmatiques de l'atazanavir.,,35
ATAZANAVIR,ANTISÉCRÉTOIRES INHIBITEURS DE LA POMPE À PROTONS,atazanavir,antisecretoires inhibiteurs de la pompe a protons,high,ASDEC,"Diminution très importante des concentrations plasmatiques de l'atazanavir, avec risque d'échec thérapeutique.",,35
ATAZANAVIR,BICTÉGRAVIR,atazanavir,bictegravir,high,ASDEC,Quadruplement des concentrations de bictégravir.,,35
ATAZANAVIR,BUPRENORPHINE,atazanavir,buprenorphine,low,APEC,"Risque de majoration ou de diminution des effets de la buprénorphine, à la fois par inhibition et accélération de son métabolisme par l’inhibiteur de protéases.",,35
ATAZANAVIR,CLARITHROMYCINE,atazanavir,clarithromycine,moderate,PE,Augmentation des concentrations plasmatiques de clarithromycine et inhibition de la formation de son métabolite actif.,"Surveillance clinique et biologique régulière, notamment en début d'association.",35
ATAZANAVIR,EFAVIRENZ,atazanavir,efavirenz,high,ASDEC,Risque de baisse de l’efficacité de l’atazanavir par augmentation de son métabolisme hépatique.,"Si l’association s’avère nécessaire, adaptation posologique de l’atazanavir avec surveillance clinique et biologique régulière, notamment en début d’association.",35
ATAZANAVIR,ETRAVIRINE,atazanavir,etravirine,high,ASDEC,Risque de diminution des concentrations plasmatiques d’atazanavir par l’étravirine.,,35
ATAZANAVIR,GLÉCAPRÉVIR + PIBRENTASVIR,atazanavir,glecaprevir + pibrentasvir,critical,CI,Augmentation de l’hépatotoxicité avec la bithérapie.,,35
ATAZANAVIR,LÉNACAPAVIR,atazanavir,lenacapavir,high,ASDEC,"Lorsqu’il est associé au cobicistat, l’atazanavir provoque une augmentation très importante des concentrations de lénacapavir.",,35
ATAZANAVIR,NEVIRAPINE,atazanavir,nevirapine,high,ASDEC,Risque de baisse de l’efficacité de l’atazanavir par augmentation de son métabolisme hépatique.,"Si l’association s’avère nécessaire, adaptation posologique de l’atazanavir avec surveillance clinique et biologique régulière, notamment en début d’association.",35
ATAZANAVIR,POSACONAZOLE,atazanavir,posaconazole,low,APEC,Augmentation des concentrations plasmatiques de l'atazanavir et du risque d'hyperbilirubinémie.,,36
ATAZANAVIR,TENOFOVIR DISOPROXIL,atazanavir,tenofovir disoproxil,low,APEC,"Diminution d’environ un tiers de l’exposition à l’atazanavir chez le patient en cas d’association au ténofovir, comparativement au sujet sain recevant la même association.",Ne pas administrer l’atazanavir avec le ténofovir sans ritonavir.,36
ATORVASTATINE,APALUTAMIDE,atorvastatine,apalutamide,high,ASDEC,"Risque de diminution très importante des concentrations de l'atorvastatine, et perte d‘efficacité, par augmentation de son métabolisme hépatique par l’apalutamide.",,36
ATORVASTATINE,AZITHROMYCINE,atorvastatine,azithromycine,moderate,PE,"Risque majoré d'effets indésirables (concentration-dépendants) à type de rhabdomyolyse, par diminution du métabolisme hépatique de l'hypocholestérolémiant.",Utiliser des doses plus faibles d’hypocholestérolémiant ou une autre statine non concernée par ce type d’interaction.,36
ATORVASTATINE,CICLOSPORINE,atorvastatine,ciclosporine,moderate,PE,Risque majoré d'effets indésirables (concentration-dépendants) à type de rhabdomyolyse (diminution du métabolisme de l'hypocholestérolémiant).,"Ne pas dépasser la posologie de 10mg/jour d'atorvastatine. Si l'objectif thérapeutique n'est pas atteint à cette posologie, utiliser une autre statine non concernée par ce type d'interaction.",36
ATORVASTATINE,CLARITHROMYCINE,atorvastatine,clarithromycine,moderate,PE,"Risque majoré d'effets indésirables (concentration-dépendants) à type de rhabdomyolyse, par diminution du métabolisme hépatique de l'hypocholesterolémiant.","Utiliser des doses plus faibles d'hypocholestérolémiant. Si l'objectif thérapeutique n'est pas atteint, utiliser une autre statine non concernée par ce type d'interaction.",36
ATORVASTATINE,DILTIAZEM,atorvastatine,diltiazem,moderate,PE,"Risque majoré d'effets indésirables (concentration-dépendants) à type de rhabdomyolyse, par diminution du métabolisme hépatique de l'hypocholestérolémiant.",Utiliser des doses plus faibles d’hypocholestérolémiant ou une autre statine non concernée par ce type d’interaction.,36
ATORVASTATINE,ERYTHROMYCINE,atorvastatine,erythromycine,moderate,PE,"Risque majoré d'effets indésirables (concentration-dépendants) à type de rhabdomyolyse, par diminution du métabolisme hépatique de l'hypocholesterolémiant.","Utiliser des doses plus faibles d'hypocholestérolémiant. Si l'objectif thérapeutique n'est pas atteint, utiliser une autre statine non concernée par ce type d'interaction.",36
ATORVASTATINE,FLUCONAZOLE,atorvastatine,fluconazole,moderate,PE,Risque majoré d'effets indésirables concentration-dépendants à type de rhabdomyolyse (diminution du métabolisme hépatique de la statine).,"Utiliser des doses plus faibles de l'hypocholestérolémiant. Si l'objectif thérapeutique n'est pas atteint, utiliser une autre statine non concernée par ce type d'interaction.",36
ATORVASTATINE,GLÉCAPRÉVIR + PIBRENTASVIR,atorvastatine,glecaprevir + pibrentasvir,critical,CI,"Augmentation importante des concentrations plasmatiques d’atorvastatine par la bithérapie, avec risque majoré d’effets indésirables (concentration-dépendants) à type de rhabdomyolyses.",,36
ATORVASTATINE,INHIBITEURS DE PROTÉASES BOOSTÉS PAR RITONAVIR,atorvastatine,inhibiteurs de proteases boostes par ritonavir,high,ASDEC,Risque majoré d'effets indésirables (concentration-dépendants) à type de rhabdomyolyse (diminution du métabolisme hépatique de l'atorvastatine).,"Utiliser des doses plus faibles d'atorvastatine. Si l'objectif thérapeutique n'est pas atteint, utiliser une autre statine non concernée par ce type d'interaction.",36
ATORVASTATINE,ITRACONAZOLE,atorvastatine,itraconazole,critical,CI,Risque majoré d'effets indésirables (concentration-dépendants) à type de rhabdomyolyse (diminution du métabolisme hépatique de l'atorvastatine).,,36
ATORVASTATINE,KETOCONAZOLE,atorvastatine,ketoconazole,critical,CI,Risque majoré d'effets indésirables (concentration-dépendants) à type de rhabdomyolyse (diminution du métabolisme hépatique de l'atorvastatine).,,36
ATORVASTATINE,OMBITASVIR + PARITAPRÉVIR,atorvastatine,ombitasvir + paritaprevir,critical,CI,Augmentation des concentrations plasmatiques de l'atorvastatine par diminution de son métabolisme hépatique par la bithérapie.,,36
ATORVASTATINE,PAMPLEMOUSSE (JUS ET FRUIT),atorvastatine,pamplemousse (jus et fruit),low,APEC,"Augmentation des concentrations plasmatiques de l'hypolipémiant, avec risque de survenue d'effets indésirables, notamment musculaires.",,37
ATORVASTATINE,PONATINIB,atorvastatine,ponatinib,moderate,PE,Risque d’augmentation des concentrations plasmatiques de l'atrovastatine par augmentation de son absorption intestinale par le ponatinib.,Surveillance clinique et biologique étroite pendant l’association.,37
ATORVASTATINE,POSACONAZOLE,atorvastatine,posaconazole,critical,CI,Risque majoré d'effets indésirables (concentration-dépendants) à type de rhabdomyolyse (diminution du métabolisme hépatique de l’inhibiteur de l’HMG-CoA reductase).,,37
ATORVASTATINE,RANOLAZINE,atorvastatine,ranolazine,moderate,PE,Risque majoré d'effets indésirables (concentration-dépendants) à type de rhabdomyolyse par inhibition du métabolisme de l'atorvastatine par la ranolazine.,Utiliser des doses plus faibles d’hypocholestérolémiant ou une autre statine non concernée par ce type d’interaction.,37
ATORVASTATINE,RIFAMPICINE,atorvastatine,rifampicine,high,ASDEC,"Diminution très importante des concentrations plasmatiques d'atorvastatine, par augmentation de son métabolisme hépatique par la rifampicine.",,37
ATORVASTATINE,ROXITHROMYCINE,atorvastatine,roxithromycine,moderate,PE,Risque majoré d'effets indésirables (concentration-dépendants) à type de rhabdomyolyse.,Utiliser des doses plus faibles d’hypocholestérolémiant.,37
ATORVASTATINE,STIRIPENTOL,atorvastatine,stiripentol,critical,CI,Risque majoré d’effets indésirables (dose-dépendants) à type de rhabdomyolyse (diminution du métabolisme hépatique de l’hypocholestérolémiant).,,37
ATORVASTATINE,TELITHROMYCINE,atorvastatine,telithromycine,critical,CI,Risque majoré d’effets indésirables (dose-dépendants) à type de rhabdomyolyse (diminution du métabolisme hépatique de l’hypocholestérolémiant).,,37
ATORVASTATINE,VERAPAMIL,atorvastatine,verapamil,moderate,PE,"Risque majoré d'effets indésirables (concentration-dépendants) à type de rhabdomyolyse, par diminution du métabolisme hépatique de l'hypocholestérolémiant.","Utiliser des doses plus faibles d'hypocholestérolémiant. Si l'objectif thérapeutique n'est pas atteint, utiliser une autre statine non concernée par ce type d'interaction.",37
ATOVAQUONE,EFAVIRENZ,atovaquone,efavirenz,high,ASDEC,Diminution des concentrations plasmatiques d'atovaquone par l'inducteur enzymatique.,,37
ATOVAQUONE,INHIBITEURS DE PROTÉASES BOOSTÉS PAR RITONAVIR,atovaquone,inhibiteurs de proteases boostes par ritonavir,high,ASDEC,"Diminution, éventuellement très importante, des concentrations plasmatiques de l’atovaquone par augmentation de son métabolisme.",,37
ATOVAQUONE,RIFABUTINE,atovaquone,rifabutine,low,APEC,Diminution modérée des concentrations plasmatiques d'atovaquone par l'inducteur enzymatique.,,37
ATOVAQUONE,RIFAMPICINE,atovaquone,rifampicine,high,ASDEC,Diminution des concentrations plasmatiques d'atovaquone par l'inducteur enzymatique.,,37
AVANAFIL,PAMPLEMOUSSE (JUS ET FRUIT),avanafil,pamplemousse (jus et fruit),high,ASDEC,"Augmentation des concentrations plasmatiques de l'avanafil, avec risque d’hypotension.",,37
AZITHROMYCINE,ATORVASTATINE,azithromycine,atorvastatine,moderate,PE,"Risque majoré d'effets indésirables (concentration-dépendants) à type de rhabdomyolyse, par diminution du métabolisme hépatique de l'hypocholestérolémiant.",Utiliser des doses plus faibles d’hypocholestérolémiant ou une autre statine non concernée par ce type d’interaction.,38
AZITHROMYCINE,CICLOSPORINE,azithromycine,ciclosporine,moderate,PE,Risque d'augmentation des concentrations sanguines de ciclosporine et de la créatininémie.,"Dosage des concentrations sanguines de la ciclosporine, contrôle de la fonction rénale et adaptation de la posologie pendant l'association et après l'arrêt du macrolide.",38
