substance_a,substance_b,substance_a_norm,substance_b_norm,severity,ansm_codes,mechanism,conduct,source_page
TAMOXIFENE,PAROXETINE,tamoxifene,paroxetine,high,ASDEC,"Baisse de l’efficacité du tamoxifène, par inhibition de la formation de son métabolite actif par la paroxétine.",,237
TAMOXIFENE,QUINIDINE,tamoxifene,quinidine,high,ASDEC,"Risque de baisse de l'efficacité du tamoxifène, par inhibition de la formation de son métabolite actif par la quinidine.",,237
TAMOXIFENE,ROLAPITANT,tamoxifene,rolapitant,high,ASDEC,Risque de baisse de l’efficacité du tamoxifène par inhibition de la formation de son métabollite actif par le rolapitant.,,237
TAMOXIFENE,TERBINAFINE,tamoxifene,terbinafine,high,ASDEC,"Risque de baisse de l'efficacité du tamoxifène, par inhibition de la formation de son métabolite actif par la terbinafine.",,237
TAMSULOSINE,AMIODARONE,tamsulosine,amiodarone,moderate,PE,"Risque de majoration des effets indésirables de la tamsulosine, par inhibition de son métabolisme hépatique.","Surveillance clinique et adaptation de la posologie de la tamsulosine pendant le traitement par l’inhibiteur enzymatique et après son arrêt, le cas échéant.",238
TAMSULOSINE,DILTIAZEM,tamsulosine,diltiazem,moderate,PE,"Risque de majoration des effets indésirables de la tamsulosine, par inhibition de son métabolisme hépatique.","Surveillance clinique et adaptation de la posologie de la tamsulosine pensant le traitement par l’inhibiteur enzymatique et après son arrêt, le cas échéant.",238
TAMSULOSINE,INHIBITEURS PUISSANTS DU CYP3A4,tamsulosine,inhibiteurs puissants du cyp3a4,high,ASDEC,"Risque de majoration des effets indésirables de la tamsulosine, par inhibition de son métabolisme hépatique.",,238
TAMSULOSINE,VERAPAMIL,tamsulosine,verapamil,moderate,PE,"Risque de majoration des effets indésirables de la tamsulosine, par inhibition de son métabolisme hépatique.","Surveillance clinique et adaptation de la posologie de la tamsulosine pensant le traitement par l’inhibiteur enzymatique et après son arrêt, le cas échéant.",238
TÉDIZOLIDE,IMATINIB,tedizolide,imatinib,high,ASDEC,"Risque d’augmentation des concentrations plasmatiques de l'imatinib, par augmentation de son absorption avec le tédizolide administré par voie orale.",,238
TÉDIZOLIDE,LAPATINIB,tedizolide,lapatinib,high,ASDEC,"Risque d’augmentation des concentrations plasmatiques du lapatinib, par augmentation de son absorption avec le tédizolide administré par voie orale, ou par diminution de son élimination avec le tédizolide administré par voie IV.",,238
TÉDIZOLIDE,METHOTREXATE,tedizolide,methotrexate,high,ASDEC,"Risque d’augmentation des concentrations plasmatiques du méthotrexate, par augmentation de son absorption avec le tédizolide administré par voie orale, ou par diminution de son élimination avec le tédizolide administré par voie IV.",,238
TÉDIZOLIDE,ROSUVASTATINE,tedizolide,rosuvastatine,high,ASDEC,"Risque d’augmentation des concentrations plasmatiques de la rosuvastatine, par augmentation de son absorption avec le tédizolide administré par voie orale, ou par diminution de son élimination avec le tédizolide administré par voie IV.",,238
TÉDIZOLIDE,SULFASALAZINE,tedizolide,sulfasalazine,high,ASDEC,"Risque d’augmentation des concentrations plasmatiques de la sulfasalazine, par augmentation de son absorption avec le tédizolide administré par voie orale.",,238
TÉDIZOLIDE,TOPOTECANE,tedizolide,topotecane,high,ASDEC,"Risque d’augmentation des concentrations plasmatiques du topotécan, par augmentation de son absorption avec le tédizolide administré par voie orale, ou par diminution de son élimination avec le tédizolide administré par voie IV.",,238
TELBIVUDINE,PEG-INTERFERON ALFA-2A,telbivudine,peg-interferon alfa-2a,critical,CI,Risque majoré de neuropathies périphériques.,,238
TELITHROMYCINE,ATORVASTATINE,telithromycine,atorvastatine,critical,CI,Risque majoré d’effets indésirables (dose-dépendants) à type de rhabdomyolyse (diminution du métabolisme hépatique de l’hypocholestérolémiant).,,238
TELITHROMYCINE,DIGOXINE,telithromycine,digoxine,moderate,PE,Augmentation de la digoxinémie par augmentation de son absorption.,Surveillance clinique et éventuellement de la digoxinémie pendant le traitement par la télithromycine et après son arrêt.,239
TELITHROMYCINE,IMMUNOSUPPRESSEURS,telithromycine,immunosuppresseurs,high,ASDEC,Augmentation très importante des concentrations sanguines de l'immunosuppresseur par inhibition de son métabolisme hépatique.,"En cas d’association, contrôle strict de la fonction rénale, dosage des concentrations sanguines de l'immunosuppresseur et adaptation éventuelle de la posologie.",239
TELITHROMYCINE,INDUCTEURS ENZYMATIQUES PUISSANTS,telithromycine,inducteurs enzymatiques puissants,high,ASDEC,"Diminution des concentrations plasmatiques de la télithromycine, avec risque d'échec du traitement anti-infectieux, par augmentation de son métabolisme hépatique par l'inducteur.",,239
TELITHROMYCINE,INHIBITEURS PUISSANTS DU CYP3A4,telithromycine,inhibiteurs puissants du cyp3a4,critical,CI,"Risque de majoration des effets indésirables, notamment à type de troubles du rythme cardiaque.",chez le patient insuffisant rénal ou hépatique sévère.,239
TELITHROMYCINE,MILLEPERTUIS,telithromycine,millepertuis,high,ASDEC,"Diminution des concentrations plasmatiques de la télithromycine, avec risque d'échec du traitement anti-infectieux, par augmentation du métabolisme hépatique de la télithromycine par le millepertuis.",,239
