"Substance / Classe","Substance / Classe associée","Risque / Effet","Niveau de contrainte","Conduite à tenir"
"ANALGÉSIQUES MORPHINIQUES DE PALIER II","MORPHINIQUES ANTAGONISTES PARTIELS","Risque de diminution de l'effet antalgique.","Association DECONSEILLEE",""
"ANALGÉSIQUES MORPHINIQUES DE PALIER III","MORPHINIQUES AGONISTES-ANTAGONISTES","Diminution de l'effet antalgique par blocage compétitif des récepteurs, avec risque d'apparition d'un syndrome de sevrage.","CONTRE-INDICATION",""
"ANALGÉSIQUES MORPHINIQUES DE PALIER III","MORPHINIQUES ANTAGONISTES PARTIELS","Risque de diminution de l'effet antalgique.","CONTRE-INDICATION",""
"ANALOGUES DE LA SOMATOSTATINE","CICLOSPORINE","Avec ciclosporine orale: baisse des concentrations sanguines de ciclosporine (diminution de son absorption intestinale).","Précaution d'emploi","Augmentation des doses de ciclosporine sous contrôle des concentrations plasmatiques et réduction après l'arrêt."
"ANALOGUES DE LA SOMATOSTATINE","INSULINE","Risque d'hypoglycémie ou d'hyperglycémie (variation des besoins par modification de la sécrétion de glucagon endogène).","Précaution d'emploi","Prévenir du risque, renforcement de l'autosurveillance glycémique et adaptation de la posologie d'insuline."
"ANALOGUES DE LA SOMATOSTATINE","REPAGLINIDE","Risque d'hypoglycémie ou d'hyperglycémie (variation des besoins par modification de la sécrétion de glucagon endogène).","Précaution d'emploi","Renforcer l'autosurveillance glycémique et adapter si besoin la posologie du repaglinide."
"ANALOGUES DE LA SOMATOSTATINE","SULFAMIDES HYPOGLYCEMIANTS","Risque d'hypoglycémie ou d'hyperglycémie (variation des besoins par modification de la sécrétion de glucagon endogène).","Précaution d'emploi","Renforcer l'autosurveillance glycémique et adapter si besoin la posologie du sulfamide."
"ANDROGÈNES","ANTIVITAMINES K","Augmentation du risque hémorragique par effet direct sur la coagulation et/ou les systèmes fibrinolytiques.","Précaution d'emploi","Contrôle plus fréquent de l'INR. Adaptation de la posologie de l'AVK pendant le traitement et après son arrêt."
"ANDROGÈNES","INDUCTEURS ENZYMATIQUES","Risque de diminution des concentrations plasmatiques de l'androgène et de son efficacité par augmentation de son métabolisme.","Précaution d'emploi","Surveillance clinique et biologique pendant l'association et 1 à 2 semaines après l'arrêt de l'inducteur."
"ANESTHÉSIQUES VOLATILS HALOGÉNÉS","ADRENALINE (VOIE BUCCO-DENTAIRE OU SOUS-CUTANÉE)","Troubles du rythme ventriculaire graves par augmentation de l'excitabilité cardiaque.","Précaution d'emploi","Limiter l'apport, par exemple moins de 0,1 mg d'adrénaline en 10 minutes ou 0,3 mg en 1 heure chez l'adulte."
"ANESTHÉSIQUES VOLATILS HALOGÉNÉS","BETA-BLOQUANTS (SAUF ESMOLOL) (Y COMPRIS COLLYRES)","Réduction des réactions cardiovasculaires de compensation. L'inhibition bêta-adrénergique peut être levée durant l'intervention par bêta-mimétiques.","Précaution d'emploi","En règle générale, ne pas arrêter le traitement bêta-bloquant et éviter l'arrêt brutal. Informer l'anesthésiste."
"ANESTHÉSIQUES VOLATILS HALOGÉNÉS","BÊTA-BLOQUANTS DANS L'INSUFFISANCE CARDIAQUE","Réduction des réactions cardiovasculaires de compensation. L'inhibition bêta-adrénergique peut être levée par bêta-stimulants.","Précaution d'emploi","En règle générale, ne pas arrêter le traitement bêta-bloquant et éviter l'arrêt brutal. Informer l'anesthésiste."
