"Substance / Classe","Substance / Classe associée","Risque / Effet","Niveau de contrainte","Conduite à tenir"
"ANTIVITAMINES K","PROGUANIL","Risque d'augmentation de l'effet de l'antivitamine K et du risque hémorragique.","Précaution d'emploi","Contrôle plus fréquent de l'INR. Adaptation éventuelle de la posologie d'AVK pendant le traitement et après son arrêt."
"ANTIVITAMINES K","RIFAMPICINE","Diminution de l'effet de l'antivitamine K par augmentation de son métabolisme hépatique par la rifampicine.","Précaution d'emploi","Contrôle plus fréquent de l'INR. Adaptation éventuelle de la posologie d'AVK pendant le traitement et 8 jours après son arrêt."
"ANTIVITAMINES K","ROPINIROLE","Augmentation du risque hémorragique.","Précaution d'emploi","Contrôle plus fréquent de l'INR. Adaptation éventuelle de la posologie d'AVK pendant le traitement et après son arrêt."
"ANTIVITAMINES K","SULFAMETHOXAZOLE","Augmentation importante de l'effet de l'antivitamine K et du risque hémorragique.","Association DECONSEILLEE","Si inévitable, contrôle plus fréquent de l'INR et adaptation posologique pendant le traitement et après son arrêt."
"ANTIVITAMINES K","TAMOXIFENE","Risque d'augmentation de l'effet de l'antivitamine K et du risque hémorragique.","Précaution d'emploi","Contrôle plus fréquent de l'INR. Adaptation éventuelle de la posologie de l'antivitamine K."
"ANTIVITAMINES K","TIBOLONE","Augmentation de l'effet de l'antivitamine K et du risque hémorragique.","Précaution d'emploi","Contrôle plus fréquent de l'INR. Adaptation éventuelle de la posologie d'AVK pendant le traitement et après son arrêt."
"ANTIVITAMINES K","VORICONAZOLE","Augmentation de l'effet de l'antivitamine K et du risque hémorragique par diminution de son métabolisme hépatique.","Précaution d'emploi","Contrôle plus fréquent de l'INR. Adaptation éventuelle de la posologie d'AVK pendant le traitement et 8 jours après son arrêt."
"APALUTAMIDE","ATORVASTATINE","Risque de diminution très importante des concentrations d'atorvastatine et perte d'efficacité par augmentation de son métabolisme.","Association DECONSEILLEE",""
"APALUTAMIDE","CABAZITAXEL","Risque de diminution très importante des concentrations du cabazitaxel et perte d'efficacité par augmentation de son métabolisme.","Association DECONSEILLEE",""
"APALUTAMIDE","DOCETAXEL","Risque de diminution très importante des concentrations du docétaxel et perte d'efficacité par augmentation de son métabolisme.","Association DECONSEILLEE",""
"APALUTAMIDE","IMMUNOSUPPRESSEURS","Risque de diminution très importante des concentrations des immunosuppresseurs et perte d'efficacité par augmentation de leur métabolisme.","Association DECONSEILLEE",""
"APALUTAMIDE","METHADONE","Risque de diminution très importante des concentrations de la méthadone et perte d'efficacité par augmentation de son métabolisme.","Association DECONSEILLEE",""
"APALUTAMIDE","OLAPARIB","Risque de diminution très importante des concentrations de l'olaparib et perte d'efficacité par augmentation de son métabolisme.","Association DECONSEILLEE",""
"APALUTAMIDE","OMEPRAZOLE","Risque de diminution très importante des concentrations de l'oméprazole et perte d'efficacité par augmentation de son métabolisme.","Association DECONSEILLEE",""
"APALUTAMIDE","PIMOZIDE","Risque de diminution très importante des concentrations du pimozide et perte d'efficacité par augmentation de son métabolisme.","Association DECONSEILLEE",""
"APALUTAMIDE","SIMVASTATINE","Risque de diminution très importante des concentrations de la simvastatine et perte d'efficacité par augmentation de son métabolisme.","Association DECONSEILLEE",""
"APIXABAN","FLUCONAZOLE","Augmentation des concentrations plasmatiques de l'apixaban par le fluconazole.","Association DECONSEILLEE",""
